unet3+_aspp
Epoch: 111, Acc: 0.6457622715684234, Acc_class: 0.568974469172147, mIoU: 0.3920928051557568, fwIoU: 0.5126129341763023, best_fwIoU: 0.6081620840209034, Loss: 0.486
Epoch: 112, Acc: 0.6606481583392034, Acc_class: 0.5672863755878482, mIoU: 0.39348951268411136, fwIoU: 0.5283583917093666, best_fwIoU: 0.6081620840209034, Loss: 0.466
Epoch: 113, Acc: 0.7191562339907787, Acc_class: 0.5593891517377731, mIoU: 0.4261847270677327, fwIoU: 0.5859857872009354, best_fwIoU: 0.6081620840209034, Loss: 0.391
Epoch: 114, Acc: 0.7555636108898726, Acc_class: 0.642736665408831, mIoU: 0.5018724077512362, fwIoU: 0.6237695212816551, best_fwIoU: 0.6237695212816551, Loss: 0.324
Epoch: 115, Acc: 0.7434324045650295, Acc_class: 0.6327489433660353, mIoU: 0.4883627281536299, fwIoU: 0.6127967810836701, best_fwIoU: 0.6237695212816551, Loss: 0.342
Epoch: 116, Acc: 0.637649661204854, Acc_class: 0.47354243940984625, mIoU: 0.32867467002886736, fwIoU: 0.5017751906447226, best_fwIoU: 0.6237695212816551, Loss: 0.592
Epoch: 117, Acc: 0.7074479275062436, Acc_class: 0.6099239732061598, mIoU: 0.44782179881993994, fwIoU: 0.5699077786524631, best_fwIoU: 0.6237695212816551, Loss: 0.387
Epoch: 118, Acc: 0.5529478729748335, Acc_class: 0.372216265887673, mIoU: 0.23871067036014657, fwIoU: 0.42505431999162185, best_fwIoU: 0.6237695212816551, Loss: 0.824
Epoch: 119, Acc: 0.751529474727443, Acc_class: 0.6436289223719351, mIoU: 0.5058033137292035, fwIoU: 0.6198255829815841, best_fwIoU: 0.6237695212816551, Loss: 0.329
Epoch: 120, Acc: 0.6869618775414639, Acc_class: 0.5823330247889695, mIoU: 0.40998671730715247, fwIoU: 0.5541284601064498, best_fwIoU: 0.6237695212816551, Loss: 0.430
Epoch: 121, Acc: 0.6012967219118213, Acc_class: 0.49613350089221653, mIoU: 0.32213032680139453, fwIoU: 0.4700054201427032, best_fwIoU: 0.6237695212816551, Loss: 0.570
Epoch: 122, Acc: 0.3988283501296747, Acc_class: 0.3927816485472966, mIoU: 0.2086597952321863, fwIoU: 0.2865214824863393, best_fwIoU: 0.6237695212816551, Loss: 0.969
Epoch: 123, Acc: 0.6894740745669505, Acc_class: 0.5185290642502142, mIoU: 0.3904350090631089, fwIoU: 0.542473895242377, best_fwIoU: 0.6237695212816551, Loss: 0.444
Epoch: 124, Acc: 0.6039027229684298, Acc_class: 0.41808589458699996, mIoU: 0.26463057872999773, fwIoU: 0.47521386026466356, best_fwIoU: 0.6237695212816551, Loss: 0.769
Epoch: 125, Acc: 0.7421091736340132, Acc_class: 0.6055348028114069, mIoU: 0.47647083436121057, fwIoU: 0.6058894424975115, best_fwIoU: 0.6237695212816551, Loss: 0.346
Epoch: 126, Acc: 0.732940423684042, Acc_class: 0.5888049330400682, mIoU: 0.4549567046089913, fwIoU: 0.5977937258234626, best_fwIoU: 0.6237695212816551, Loss: 0.363
Epoch: 127, Acc: 0.7263434988553407, Acc_class: 0.5811882358668107, mIoU: 0.444767980280296, fwIoU: 0.5911823189807583, best_fwIoU: 0.6237695212816551, Loss: 0.375
Epoch: 128, Acc: 0.732521870097176, Acc_class: 0.6085549223885275, mIoU: 0.4693261771481255, fwIoU: 0.6030251008904935, best_fwIoU: 0.6237695212816551, Loss: 0.361
Epoch: 129, Acc: 0.7427476664058498, Acc_class: 0.6306967325285486, mIoU: 0.4821352619411143, fwIoU: 0.6100755341693894, best_fwIoU: 0.6237695212816551, Loss: 0.353
Epoch: 130, Acc: 0.49120021257244173, Acc_class: 0.31079694132608027, mIoU: 0.18004012725307023, fwIoU: 0.3721748113536334, best_fwIoU: 0.6237695212816551, Loss: 1.046
Epoch: 131, Acc: 0.7619396272252817, Acc_class: 0.6739359405495923, mIoU: 0.5282414475690207, fwIoU: 0.6373320166643873, best_fwIoU: 0.6373320166643873, Loss: 0.310
Epoch: 132, Acc: 0.5775978213450947, Acc_class: 0.5490463298565837, mIoU: 0.36214034164674463, fwIoU: 0.4431837118929712, best_fwIoU: 0.6373320166643873, Loss: 0.553
Epoch: 133, Acc: 0.7270142289458729, Acc_class: 0.6493721815673321, mIoU: 0.4868749204695373, fwIoU: 0.5959550483012014, best_fwIoU: 0.6373320166643873, Loss: 0.356
Epoch: 134, Acc: 0.7250563199402856, Acc_class: 0.5864342536852011, mIoU: 0.45293729980110464, fwIoU: 0.5870620833480282, best_fwIoU: 0.6373320166643873, Loss: 0.371
Epoch: 135, Acc: 0.6380200933237545, Acc_class: 0.5535171137882868, mIoU: 0.371142452232637, fwIoU: 0.5022163535843546, best_fwIoU: 0.6373320166643873, Loss: 0.508
Epoch: 136, Acc: 0.7595807997906794, Acc_class: 0.6796764280300074, mIoU: 0.5277666845881633, fwIoU: 0.6322669095051873, best_fwIoU: 0.6373320166643873, Loss: 0.314
Epoch: 137, Acc: 0.7441216765857134, Acc_class: 0.6431994304012656, mIoU: 0.5032161869810624, fwIoU: 0.6108678856420897, best_fwIoU: 0.6373320166643873, Loss: 0.337
Epoch: 138, Acc: 0.6730050884309362, Acc_class: 0.5638274140688472, mIoU: 0.394624603299606, fwIoU: 0.5384396450411226, best_fwIoU: 0.6373320166643873, Loss: 0.464
Epoch: 139, Acc: 0.7595307397060707, Acc_class: 0.6488762552909126, mIoU: 0.5160779885870459, fwIoU: 0.6275711668935079, best_fwIoU: 0.6373320166643873, Loss: 0.315
Epoch: 140, Acc: 0.6945392421034516, Acc_class: 0.6014655879261761, mIoU: 0.4354446938786083, fwIoU: 0.5630325788520368, best_fwIoU: 0.6373320166643873, Loss: 0.422
Epoch: 141, Acc: 0.7647129121373911, Acc_class: 0.6789787305751414, mIoU: 0.5366741075950193, fwIoU: 0.6374818909896247, best_fwIoU: 0.6374818909896247, Loss: 0.305
Epoch: 142, Acc: 0.6842193916195729, Acc_class: 0.6103410043812905, mIoU: 0.4344678584754062, fwIoU: 0.5498624053304948, best_fwIoU: 0.6374818909896247, Loss: 0.423
Epoch: 143, Acc: 0.6465627326339972, Acc_class: 0.5714574271346967, mIoU: 0.39797535329229045, fwIoU: 0.5135710188388422, best_fwIoU: 0.6374818909896247, Loss: 0.474
Epoch: 144, Acc: 0.7597669382564357, Acc_class: 0.6645960324384292, mIoU: 0.5229078701662281, fwIoU: 0.6346989047407923, best_fwIoU: 0.6374818909896247, Loss: 0.313
Epoch: 145, Acc: 0.722069224373239, Acc_class: 0.5846369290450533, mIoU: 0.45769990017432266, fwIoU: 0.5807586444839068, best_fwIoU: 0.6374818909896247, Loss: 0.386
